Name,Score,Genres,English name,Type,Month Aired,Season,Episodes,Duracion,Rating,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,6.01,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,Special,Aug,Summer,1,4,PG,6226,5536,3,80,3822,66,75
Astarotte no Omocha! EX,6.65,"['Comedy', 'Demons', 'Ecchi', 'Fantasy', 'Romance', 'Seinen']",Astarotte's Toy EX,OVA,Sep,Fall,1,21,R,2879,31907,25,672,24807,306,256
Mononoke Dance,5.12,"['Music', 'Dementia']",Mononoke Dance,Music,Apr,Spring,1,4,PG,10418,1021,0,16,756,10,39
Chuunen Punk,4.67,['Music'],Chuunen Punk,Music,Dec,Winter,1,2,PG,12038,521,0,7,421,2,30
Cafe de Oni,4.47,['Music'],Cafe de Oni,Music,Dec,Winter,1,4,PG,11536,635,2,6,522,5,30
Persona 4 the Animation,7.52,"['Sci-Fi', 'Adventure', 'Mystery', 'Super Power', 'Supernatural', 'School']",Persona 4 the Animation,TV,Oct,Fall,25,25,PG,662,221067,2121,13483,127976,10908,11738
Naruto: Shippuuden Movie 5 - Blood Prison,7.46,"['Action', 'Adventure', 'Martial Arts', 'Super Power', 'Mystery', 'Shounen']",Naruto: Shippuuden Movie 5 - Blood Prison,Movie,Jul,Summer,1,102,PG,925,160912,173,1409,144761,638,430
s.CRY.ed Alteration I: Tao,6.91,"['Action', 'Sci-Fi', 'Adventure', 'Super Power', 'Shounen']",s.CRY.ed Alteration I: Tao,Movie,Nov,Fall,1,96,PG,6751,4490,5,132,1574,91,77
Tokimeki Tonight Recaps,6.23,"['Comedy', 'Fantasy', 'Romance', 'Shoujo', 'Vampire']",Tokimeki Tonight Recaps,Special,Other,Other,2,49,PG,12008,527,1,21,221,11,58
VitaminX Addiction,6.1,"['Romance', 'School']",VitaminX Addiction,OVA,Aug,Summer,3,29,PG,8965,1903,5,66,196,54,74
Hayabusa: Back to the Earth - Kikan,6.51,['Historical'],Hayabusa: Back to the Earth - Kikan,Movie,May,Spring,1,45,PG,14320,237,0,14,58,7,33
Hayabusa: Back to the Earth,6.51,['Historical'],Hayabusa: Back to the Earth,Movie,Mar,Spring,1,42,PG,14351,233,0,11,72,3,27
Hidan no Aria: Butei ga Kitarite Onsen Kenshuu,6.82,"['Action', 'Mystery', 'Comedy', 'Romance']",Aria the Scarlet Ammo Special,Special,Dec,Winter,1,24,PG,2265,49661,38,741,39725,359,256
Rerere no Tensai Bakabon,6.22,['Comedy'],Rerere no Tensai Bakabon,TV,Oct,Fall,24,25,G,12088,506,1,26,192,21,87
R-15,6.5,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",R-15,TV,Jul,Summer,12,24,R,1666,80067,86,4169,46198,2684,5239
Mirai Nikki,7.54,"['Action', 'Mystery', 'Psychological', 'Shounen', 'Supernatural', 'Thriller']",The Future Diary,TV,Oct,Fall,26,23,R,19,1533289,29580,66219,1154210,38657,55337
Tengen Toppa Gurren Lagann: Ore no Gurren wa Pikka-Pika!!,6.78,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",Tengen Toppa Gurren Lagann: Ore no Gurren wa Pikka-Pika!!,OVA,Oct,Fall,1,12,PG,3014,29171,22,468,20564,334,194
Hayan Ma-eum Baeggu,6.51,['Adventure'],Hayan Ma-eum Baeggu,TV,Oct,Fall,13,23,PG,11381,674,1,35,156,35,69
Mardock Scramble: The Second Combustion,7.37,"['Action', 'Psychological', 'Sci-Fi']",Mardock Scramble:The Second Combustion,Movie,Sep,Fall,1,64,R,2711,35610,46,609,24696,373,187
Ski Jumping Pairs: Road to Torino 2006,5.29,"['Comedy', 'Sports']",Ski Jumping Pairs: Road to Torino 2006,Movie,Jan,Winter,1,4,G,12767,382,1,11,222,8,40
Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,7.27,"['Action', 'Adventure', 'Magic', 'Ecchi', 'Fantasy', 'School', 'Shounen']",Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,OVA,Nov,Fall,1,31,PG,5251,8401,8,232,4870,164,111
Tibet Inu Monogatari,7.3,['Adventure'],The Tibetan Dog,Movie,Jun,Summer,1,87,G,6423,5102,9,113,2361,67,65
Shiodome Cable TV,6.51,['Comedy'],Shiodome Cable TV,TV,Apr,Spring,22,5,PG,14121,252,0,17,79,10,59
Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,7.32,"['Sci-Fi', 'Comedy']",Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,Special,Feb,Winter,1,29,PG,2213,52129,42,710,41277,372,180
Deva Zan,5.04,"['Action', 'Fantasy']",Deva Zan,Special,Dec,Winter,1,1,G,9030,1863,1,31,414,12,38
Gintama: Dai Hanseikai,8.07,"['Action', 'Comedy', 'Parody', 'Samurai']",Gintama: Dai Hanseikai,Special,Mar,Spring,1,14,PG,3046,28621,67,665,18648,363,293
Ao no Exorcist: Ura Ex,7.1,"['Action', 'Fantasy', 'Supernatural', 'Shounen']",Ao no Exorcist: Ura Ex,Special,Jun,Summer,10,1,PG,1762,74025,61,2080,49520,1511,905
Mars,6.51,"['Action', 'Mecha', 'Sci-Fi', 'Shounen']",Mars,OVA,Jun,Summer,2,30,PG,12492,432,1,18,128,10,40
Running Boy: Star Soldier no Himitsu,6.51,"['Sci-Fi', 'Space']",Running Boy: Star Soldier no Himitsu,Movie,Jul,Summer,1,49,PG,14351,234,0,11,73,5,38
Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,6.97,"['Action', 'Comedy', 'Martial Arts', 'Shounen', 'Super Power']",Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,Movie,Jul,Summer,1,14,PG,2532,40273,54,462,33483,325,236
Fireball Special,6.3,"['Comedy', 'Sci-Fi']",Fireball Special,Special,Aug,Summer,1,3,G,8620,2187,1,31,1765,18,35
Morita-san wa Mukuchi.,6.53,"['Comedy', 'School', 'Slice of Life']",Morita-san wa Mukuchi.,TV,Jul,Summer,13,3,PG,3574,20936,15,868,12334,574,1024
Omake,5.27,['Comedy'],Pieces,Movie,Other,Other,1,2,G,11762,577,0,10,430,4,24
Maria†Holic: Run Run Riru Ran Ran Rara,5.77,"['Comedy', 'Music']",Maria†Holic: Run Run Riru Ran Ran Rara,Music,Apr,Spring,1,1,PG,7276,3729,2,53,2403,49,81
Blood-C: The Last Dark,7.2,"['Action', 'Horror', 'Supernatural', 'Vampire']",Blood-C:The Last Dark,Movie,Jun,Summer,1,110,R,1773,73079,162,1404,50707,693,459
Sore Ike! Anpanman: Sukue! Kokorin to Kiseki no Hoshi,6.51,"['Comedy', 'Fantasy', 'Kids']",Sore Ike! Anpanman: Sukue! Kokorin to Kiseki no Hoshi,Movie,Jul,Summer,1,46,PG,14421,231,1,9,86,5,52
Sore Ike! Anpanman: Utatte Teasobi! Anpanman to Mori no Takara,6.51,"['Comedy', 'Fantasy', 'Kids']",Sore Ike! Anpanman: Utatte Teasobi! Anpanman to Mori no Takara,Movie,Jul,Summer,1,0,PG,14367,231,0,8,81,5,54
Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,7.16,"['Action', 'Adventure', 'Martial Arts', 'Shounen', 'Super Power']",Chunin Exam on Fire! and Naruto vs. Konohamaru!,Movie,Jul,Summer,1,14,PG,2102,55714,44,557,48509,305,223
Saint Seiya: Legend of Sanctuary,6.25,"['Sci-Fi', 'Adventure', 'Fantasy', 'Shounen']",Saint Seiya: Legend of Sanctuary,Movie,Jun,Summer,1,92,PG,3486,22051,51,266,17369,117,171
Muybridge no Ito,6.09,['Drama'],Muybridge no Ito,Movie,May,Spring,1,13,PG,9721,1410,2,43,833,13,33
Appleseed XIII Remix Movie 1: Yuigon,6.41,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Police']",Appleseed XIII Remix Movie 1: Yuigon,Movie,Jun,Summer,1,84,R,7272,3720,5,107,1515,81,108
Magic Tree House,6.97,"['Adventure', 'Magic']",Magic Tree House,Movie,Jan,Winter,1,100,PG,5968,6100,9,162,2769,91,68
Downloader,5.96,['Music'],Downloader,Music,May,Spring,1,3,G,6412,5094,11,68,4217,22,36
Appleseed XIII Remix Movie 2: Yogen,6.41,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Police']",Appleseed XIII Remix Movie 2: Yogen,Movie,Oct,Fall,1,84,R,7209,3810,3,114,1504,79,101
Ulysses 31 Pilot,5.82,"['Action', 'Adventure', 'Sci-Fi', 'Space']",Ulysses 31 Pilot,Special,Dec,Winter,1,24,G,11979,533,0,25,278,14,50
Tekken: Blood Vengeance,6.66,"['Action', 'Fantasy', 'Martial Arts', 'Sci-Fi', 'Supernatural']",Tekken:Blood Vengeance,Movie,Jul,Summer,1,93,PG,3751,18775,29,244,15524,117,113
Detective Conan OVA 11: A Secret Order from London,7.39,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",Detective Conan OVA 11: A Secret Order from London,OVA,May,Spring,1,25,PG,4822,10440,2,140,8235,111,109
Yasai no Yousei: N.Y.Salad,6.51,['Kids'],Yasai no Yousei: N.Y.Salad,TV,Apr,Spring,26,5,G,13361,311,0,15,74,9,56
Yasai no Yousei: N.Y.Salad 2nd Series,6.51,['Kids'],Yasai no Yousei: N.Y.Salad 2nd Series,TV,May,Spring,26,5,G,14500,223,0,15,66,8,51
Manga Nihon Keizai Nyuumon,6.51,"['Slice of Life', 'Historical', 'Drama', 'Seinen']",Manga Nihon Keizai Nyuumon,TV,Oct,Fall,25,25,PG,13659,287,1,16,62,13,50
Houkago no Pleiades: Manner Movie,5.35,['Magic'],Houkago no Pleiades: Manner Movie,Movie,Jun,Summer,1,1,PG,8545,2251,0,50,1010,39,57
Plastic Neesan,7.26,"['Comedy', 'School', 'Seinen']",Plastic Neesan,ONA,May,Spring,12,2,PG,924,161850,544,4276,110182,1522,1182
Towa no Quon 2: Konton no Ranbu,7.39,"['Action', 'Sci-Fi', 'Mystery', 'Super Power', 'Supernatural']",Towanoquon:Dancing Orchid in Chaos,Movie,Jul,Summer,1,48,PG,2861,32347,16,480,25109,263,133
Towa no Quon 3: Mugen no Renza,7.49,"['Action', 'Sci-Fi', 'Super Power', 'Psychological', 'Supernatural']",Towanoquon:The Complicity of Dreams,Movie,Aug,Summer,1,48,PG,2938,30746,17,451,23712,238,131
Towa no Quon 4: Guren no Shoushin,7.6,"['Action', 'Sci-Fi', 'Super Power', 'Supernatural']",Towanoquon:The Roaring Anxiety,Movie,Sep,Fall,1,48,PG,2970,30063,13,493,22813,247,142
Towa no Quon 5: Souzetsu no Raifuku,7.56,"['Action', 'Sci-Fi', 'Super Power', 'Supernatural']",Towanoquon:The Return of the Invincible,Movie,Nov,Fall,1,48,PG,3013,29224,14,435,22088,239,128
