Name,Score,Genres,English name,Type,Month Aired,Season,Episodes,Duracion,Rating,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
Kurokami: Intermission,6.63,"['Action', 'Martial Arts', 'Super Power']",Kurokami: Intermission,Special,Apr,Spring,1,23,R,6047,5885,3,160,3315,100,111
Rurouni Kenshin DVD-BOX Special Ending,7.75,"['Historical', 'Romance']",Samurai X DVD-BOX Special Ending,Special,Other,Other,1,2,G,4101,15537,73,381,9835,219,175
Elmer no Bouken: My Father's Dragon,6.51,"['Adventure', 'Fantasy', 'Kids']",Elmer's Adventure:My Father's Dragon,OVA,Jul,Summer,1,98,G,14018,257,0,7,97,7,41
Katanagatari,8.36,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Romance']",Katanagatari,TV,Jan,Winter,12,50,R,291,442694,9798,33832,201975,22243,13031
Kuruneko,7.31,"['Comedy', 'Slice of Life']",Kuruneko,TV,Jul,Summer,50,2,G,7070,4029,9,330,914,321,326
Superflat First Love,5.67,"['Adventure', 'Fantasy']",Superflat First Love,Special,Apr,Spring,1,3,G,7643,3211,1,40,2685,15,32
Pucca,6.56,"['Comedy', 'Parody', 'Romance']",Pucca,TV,Sep,Fall,26,23,G,4671,11341,17,297,9151,241,528
Ibara no Ou,7.0,"['Action', 'Thriller', 'Mystery', 'Sci-Fi']",King of Thorn,Movie,Oct,Fall,1,110,R,1999,60211,156,1230,38199,566,314
Watashi no Coffee Samurai: Jihanki-teki na Kareshi,6.05,"['Action', 'Romance', 'Samurai', 'Sci-Fi']",Coffee Samurai,Special,May,Spring,1,30,G,8071,2695,7,56,1484,28,52
Kara no Kyoukai Remix: Gate of Seventh Heaven,7.6,"['Action', 'Mystery', 'Romance', 'Super Power', 'Thriller']",the Garden of sinners Remix -Gate of seventh heaven-,Movie,Mar,Spring,1,61,R,2608,38242,58,759,22930,541,286
Nono-chan,6.18,"['Comedy', 'Slice of Life']",Nono-chan,TV,Jul,Summer,61,25,G,11086,761,2,28,184,42,96
Dengeki Bunko 2007 Movie Festival Special,6.21,['Comedy'],Dengeki Bunko 2007 Movie Festival Special,Special,Apr,Spring,1,3,G,6842,4355,2,103,2733,74,97
Asari-chan,6.05,"['Slice of Life', 'Comedy', 'Shoujo']",Asari-chan,TV,Jan,Winter,54,24,G,11613,617,4,36,222,23,102
Asari-chan: Ai no Marchen Shoujo,6.51,"['Adventure', 'Shoujo', 'Slice of Life']",Super Gal Asari:The Dreaming Girl in Fairy World,Movie,Mar,Spring,1,24,PG,12963,354,2,15,120,5,56
Queen's Blade: Gyokuza wo Tsugu Mono,6.58,"['Action', 'Adventure', 'Ecchi', 'Fantasy']",Queen's Blade:Inheritor of the Throne,TV,Sep,Fall,12,24,R,2373,45659,91,2028,26160,1274,1822
Sengoku Basara Ni,7.57,"['Action', 'Historical', 'Super Power', 'Martial Arts', 'Samurai']",Sengoku Basara:Samurai Kings 2,TV,Jul,Summer,12,24,PG,1989,60553,193,2391,38532,1745,1361
Chou Kousoku Galvion,5.97,"['Action', 'Sci-Fi', 'Police', 'Mecha']",Super High Speed Galvion,TV,Feb,Winter,22,23,PG,10197,1123,2,85,211,54,84
Higashi no Eden Movie II: Paradise Lost,7.63,"['Action', 'Comedy', 'Drama', 'Mystery', 'Romance', 'Thriller']",Eden of The East the Movie II:Paradise Lost,Movie,Mar,Spring,1,92,PG,1177,125403,126,1425,95203,970,451
Tonari no 801-chan R,5.79,"['Comedy', 'Music']",Tonari no 801-chan R,OVA,Sep,Fall,1,1,G,8040,2749,0,59,1771,15,40
Chu-Bra!!,6.23,"['Ecchi', 'Comedy', 'School', 'Seinen']",Chu-Bra,TV,Jan,Winter,12,24,PG,2462,42810,53,1970,24473,1698,4510
Ginga Tetsudou 999: Glass no Clair,6.6,"['Drama', 'Sci-Fi', 'Space']",Galaxy Express 999:Claire of the Glass,Movie,Mar,Spring,1,15,G,8671,2115,4,56,1100,49,63
Namakura Gatana,5.55,"['Comedy', 'Samurai']",The Dull Sword,Movie,Jun,Summer,1,4,G,6074,5886,7,54,5281,28,60
Joshikousei: Girl's High Specials,6.51,"['Comedy', 'Slice of Life']",High School Girls Specials,Special,May,Spring,3,8,PG,7081,4021,4,96,2479,82,62
Unko-san: Tsuiteru Hito ni Shika Mienai Yousei,5.35,"['Comedy', 'Magic']",Unko-san: Tsuiteru Hito ni Shika Mienai Yousei,TV,Mar,Spring,13,2,PG,11544,630,0,39,145,27,128
Passion,6.56,['Music'],Passion,Music,Dec,Winter,1,4,G,7984,2802,6,30,2351,14,24
Love to Live By,5.6,['Music'],Love to Live By,Music,Dec,Winter,1,4,PG,9903,1280,0,13,1025,7,32
8-gatsu no Symphony: Shibuya 2002-2003,6.61,['Music'],Symphony in August,Movie,Aug,Summer,1,112,PG,9937,1266,1,28,350,35,73
Byeolnala Samchongsa,5.57,"['Adventure', 'Sci-Fi']",Byeolnala Samchongsa,Movie,Jul,Summer,1,66,PG,13024,349,0,12,157,5,54
Video Senshi Lezarion,6.41,"['Action', 'Mecha', 'Sci-Fi']",Video Warrior Laserion,TV,Mar,Spring,45,24,PG,10924,816,1,52,218,67,116
Reporter Blues,6.43,"['Mystery', 'Comedy']",Reporter Blues,TV,Oct,Fall,52,22,PG,11159,745,1,38,236,30,95
Redline,8.29,"['Action', 'Sci-Fi', 'Cars', 'Sports']",Redline,Movie,Aug,Summer,1,102,R,563,259301,3912,4623,179875,1597,767
Asura Cryin' 2,7.31,"['Action', 'Supernatural', 'Mecha']",Asura Cryin' 2,TV,Oct,Fall,13,24,PG,2088,56393,111,1444,42743,1179,1152
Doujouji,6.0,"['Supernatural', 'Historical']",Dojoji Temple,Movie,Other,Other,1,18,PG,9661,1445,3,26,889,10,49
11eyes,6.16,"['Action', 'Ecchi', 'Super Power', 'Supernatural']",11eyes,TV,Oct,Fall,12,25,R,710,207294,503,7301,146869,5348,11106
Marie & Gali Special,5.62,['Comedy'],Marie & Gali Special,Special,Jun,Summer,1,4,G,11586,623,0,18,345,15,35
Chinyuuki: Tarou to Yukai na Nakama-tachi,6.51,['Comedy'],Chinyuuki: Tarou to Yukai na Nakama-tachi,OVA,Jun,Summer,3,40,PG,12986,355,0,17,67,15,46
Batain Lai!! Minami no Shima no Mizu Monogatari,6.13,"['Slice of Life', 'Historical']",Batain Lai!! Minami no Shima no Mizu Monogatari,Movie,May,Spring,1,90,G,11221,722,0,30,262,14,38
Yatterman the Movie: Shin Yattermecha Osu Gou! Omocha no Kuni de Dai Ketsudan da Koron,6.23,"['Comedy', 'Kids']",Yatterman the Movie: Shin Yattermecha Osu Gou! Omocha no Kuni de Dai Ketsudan da Koron,Movie,Aug,Summer,1,94,G,11106,757,0,27,289,24,66
Mangchi,6.0,"['Adventure', 'Comedy', 'Fantasy']",Hammerboy,Movie,Aug,Summer,1,72,PG,10606,940,2,30,556,18,44
Jim Button,6.51,"['Kids', 'Adventure', 'Fantasy', 'Magic']",Jim Button,TV,Oct,Fall,26,23,PG,13118,336,0,14,119,8,71
Fairy Tail,7.68,"['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']",Fairy Tail,TV,Oct,Fall,175,24,PG,32,1312470,46658,185463,737096,108697,148408
Queen's Blade: Rurou no Senshi Specials,6.0,"['Action', 'Adventure', 'Ecchi', 'Fantasy']",Queen's Blade:The Exiled Virgin,Special,Jun,Summer,6,3,R,4395,13128,7,531,8134,356,314
Tayutayu: Pure My Heart,6.39,['Comedy'],Tayutayu: Pure My Heart,Special,Jun,Summer,6,3,PG,5696,6938,6,279,3884,161,130
Kuroshitsuji II,7.22,"['Action', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']",Black Butler II,TV,Jul,Summer,12,24,R,298,437730,4065,12821,340878,7455,9903
Ai Yori Aoshi: Yumegatari,6.79,"['Comedy', 'Harem', 'Romance', 'Slice of Life']",Ai Yori Aoshi:Speaking of Dreams,Special,Apr,Spring,1,4,PG,5013,9430,8,167,6755,127,135
Natsu no Arashi! Akinaichuu,7.32,"['Comedy', 'Romance', 'Supernatural']",Summer Storm! Open for Business,TV,Oct,Fall,13,24,PG,3903,17376,10,839,9019,584,466
Ranma ½: Nettou Uta Gassen,7.17,"['Comedy', 'Music']",Ranma 1/2:Hot Song Contest,OVA,Nov,Fall,2,25,PG,6137,5709,5,137,3481,124,90
Dragon Ball Z: Atsumare! Gokuu World,6.48,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Fantasy', 'Shounen']",Dragon Ball Z: Atsumare! Gokuu World,OVA,Jan,Winter,1,30,G,3899,17413,5,223,13622,175,245
Yamato 2520,5.78,"['Action', 'Military', 'Sci-Fi', 'Adventure']",Yamato 2520,OVA,Nov,Fall,3,57,PG,9569,1488,2,59,535,48,82
Ankoku Cat,5.79,"['Action', 'Comedy']",Ankoku Cat,ONA,Dec,Winter,6,6,G,8572,2228,2,60,1314,42,118
Hanasakeru Seishounen Recaps,6.79,"['Drama', 'Romance', 'Shoujo']",Hanasakeru Seishounen Recaps,Special,Jun,Summer,3,24,PG,7257,3758,7,125,1971,114,135
Mechakko Dotakon,6.51,"['Comedy', 'Sci-Fi']",Mechanical Boy Dotakon,TV,Apr,Spring,28,25,G,13336,317,0,20,112,10,57
Helen Keller Monogatari: Ai to Hikari no Tenshi,6.38,['Drama'],The Story of Hellen Keller:Angel of Love and Light,Movie,May,Spring,1,72,G,11576,624,3,21,271,10,42
Tonde Mon Pe,6.51,['Kids'],Tonde Mon Pe,TV,Jun,Summer,42,23,G,13888,265,0,11,111,7,62
Ultraman Kids no Kotowaza Monogatari,6.04,"['Comedy', 'Kids', 'Super Power']",Ultraman Kids no Kotowaza Monogatari,TV,Apr,Spring,26,7,PG,11981,528,1,20,224,17,97
Ginga Tetsudou 999: Kimi wa Senshi no You ni Ikirareru ka?,6.51,"['Space', 'Drama', 'Sci-Fi']",Galaxy Express 999:Can You Live Like A Warrior?,Special,Oct,Fall,1,93,G,9632,1452,1,44,635,42,51
Ginga Tetsudou 999: Eien no Tabibito Emeraldas,6.82,"['Sci-Fi', 'Space']",Galaxy Express 999:Eternal Traveller Emeraldas,Special,Apr,Spring,1,48,PG,9591,1489,1,42,654,42,49
Ginga Tetsudou 999: Kimi wa Haha no You ni Aiseru ka!!,6.58,"['Sci-Fi', 'Space']",Galaxy Express 999:Can You Love Like a Mother?!!,Special,Oct,Fall,1,93,G,9710,1406,2,49,584,37,54
Mouryou no Hako: Chuuzenji Atsuko no Jikenbo - Hako no Yurei no Koto,6.65,"['Mystery', 'Seinen', 'Supernatural', 'Thriller']",Mouryou no Hako: Chuuzenji Atsuko no Jikenbo - Hako no Yurei no Koto,Special,May,Spring,1,16,R,5903,6274,0,77,4526,76,69
Makai Senki Disgaea: Welcome to Netherworld,6.75,"['Action', 'Comedy', 'Demons', 'Magic', 'Fantasy']",Makai Senki Disgaea: Welcome to Netherworld,Special,Feb,Winter,1,5,PG,6799,4434,5,90,2831,48,74
Utawarerumono OVA Picture Drama,6.42,"['Comedy', 'Fantasy']",Utawarerumono OVA Picture Drama,Special,Jun,Summer,3,18,PG,6647,4713,4,191,2542,121,127
Durarara!!,8.18,"['Action', 'Mystery', 'Supernatural']",Durarara!!,TV,Jan,Winter,24,24,R,57,1111256,29775,78950,651208,62664,44157
Dance in the Vampire Bund,7.06,"['Action', 'Supernatural', 'Vampire']",Dance in the Vampire Bund,TV,Jan,Winter,12,24,R,781,189926,715,8807,119903,6608,11124
Yoku Wakaru Gendai Mahou: Cruncha Cruncha Cruncha,6.64,"['Comedy', 'Magic']",Yoku Wakaru Gendai Mahou: Cruncha Cruncha Cruncha,Special,Jun,Summer,1,23,PG,6084,5822,2,124,4289,77,69
Tennis no Ouji-sama: The Band of Princes Film Kick the Future,6.94,"['Action', 'Music']",Tennis no Ouji-sama: The Band of Princes Film Kick the Future,Music,Dec,Winter,1,11,PG,6612,4759,28,63,3430,47,87
Tatakau Shisho: The Book of Bantorra,7.24,"['Action', 'Fantasy', 'Seinen', 'Super Power']",Armed Librarians:The Book of Bantorra,TV,Oct,Fall,27,24,R,2135,54376,181,4162,16495,3003,3707
Cynical Hysterie Hour: Trip Coaster,6.51,"['Comedy', 'Slice of Life']",Cynical Hysterie Hour: Trip Coaster,Movie,Dec,Winter,1,8,G,14126,250,1,8,113,5,37
Cynical Hysterie Hour: Henshin!,6.51,['Comedy'],Cynical Hysterie Hour: Henshin!,Movie,Feb,Winter,1,8,G,14264,239,0,9,104,4,38
Cynical Hysterie Hour: Yoru wa Tanoshii,6.51,['Comedy'],Cynical Hysterie Hour: Yoru wa Tanoshii,Movie,Apr,Spring,1,8,G,14349,233,0,10,104,5,36
Cynical Hysterie Hour: Utakata no Uta,6.51,['Comedy'],Cynical Hysterie Hour: Utakata no Uta,Movie,Jun,Summer,1,8,G,14007,256,0,9,111,5,38
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,7.82,"['Action', 'Military', 'Super Power', 'Mecha']",Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,OVA,Jul,Summer,1,116,R,2543,39733,123,865,25856,516,501
Mura Matsuri,5.06,['Music'],Harvest Festival,Movie,Oct,Fall,1,2,G,9118,1791,0,27,1522,11,44
Dorimogu Daa!!,6.51,"['Adventure', 'Fantasy', 'Kids']",Mock & Sweet,TV,Oct,Fall,49,25,PG,12900,362,3,14,160,13,68
Break Blade 1: Kakusei no Toki,7.67,"['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']",Broken Blade,Movie,May,Spring,1,51,R,1714,77063,171,1416,55853,673,476
Shakugan no Shana III (Final),7.56,"['Action', 'Supernatural', 'Drama', 'Romance', 'Fantasy']",Shakugan no Shana:Season III,TV,Oct,Fall,24,23,PG,716,205429,1168,7906,135142,6868,6339
Kuuchuu Buranko,7.96,"['Comedy', 'Psychological', 'Drama', 'Seinen']",Welcome to Irabu's Office,TV,Oct,Fall,11,23,R,1766,73503,1108,3930,23128,3383,3354
Densha Kamo Shirenai,5.63,['Music'],The Evening Traveling,Music,Dec,Winter,1,4,G,11021,784,2,10,640,2,21
Pokonyan!,6.63,"['Comedy', 'Fantasy', 'Kids', 'Magic']",Rocky Rackat!,TV,Apr,Spring,170,10,PG,11436,661,4,35,330,38,101
ef: A Tale of Memories. - Recollections,7.33,"['Mystery', 'Drama', 'Romance']",ef ~ A Tale of Melodies - Recollections,Special,Sep,Fall,1,58,PG,4517,12174,10,242,5998,254,192
Goulart Knights: Evoked the Beginning Black,5.77,"['Action', 'Drama', 'Fantasy', 'Shoujo', 'Supernatural']",Goulart Knights:Evoked the Beginning Black,OVA,Dec,Winter,1,22,PG,4834,10369,13,477,4528,262,402
Kanokon: Manatsu no Dai Shanikusai,6.58,"['Ecchi', 'Romance', 'Slice of Life']",Kanokon: Manatsu no Dai Shanikusai,OVA,Oct,Fall,2,25,R,2617,38050,25,894,27930,498,386
Mobile Suit SD Gundam Mk V,5.78,"['Parody', 'Comedy', 'Mecha', 'Sci-Fi']",Mobile Suit SD Gundam Mk V,OVA,Oct,Fall,3,12,G,8688,2106,0,66,1009,69,120
"Kuroshitsuji: Sono Shitsuji, Kougyou",7.55,"['Comedy', 'Demons', 'Historical', 'Shounen', 'Supernatural']",Black Butler Special,Special,Sep,Fall,1,26,PG,1495,92475,319,1167,74955,545,393
Kurokami: Tora to Tsubasa,6.87,"['Action', 'Super Power', 'Martial Arts', 'Seinen']",Kurokami: Tora to Tsubasa,Special,Dec,Winter,1,23,R,5281,8299,4,181,4979,134,85
Genius Party Beyond,7.23,"['Sci-Fi', 'Music', 'Dementia', 'Fantasy']",Genius Party Beyond,Movie,Oct,Fall,5,15,R,4002,16329,54,524,9083,370,178
Kyuukyoku Choujin R,6.31,"['Sci-Fi', 'Comedy']","The Ultimate Esper ""R""",OVA,Oct,Fall,1,73,PG,10131,1158,2,43,418,20,35
Docchi ni Suru?,5.55,"['Comedy', 'Kids']",Your Choice!,Movie,Other,Other,1,10,G,11367,678,0,11,489,11,29
Saa Ikou! Tamagotchi,5.77,['Kids'],Saa Ikou! Tamagotchi,TV,Nov,Fall,12,2,G,10923,812,0,33,459,31,84
Transformers: Scramble City,5.82,"['Action', 'Sci-Fi', 'Mecha', 'Shounen']",Transformers: Scramble City,OVA,Other,Other,1,23,PG,9561,1495,0,39,1019,26,52
So Ra No Wo To,7.56,"['Military', 'Sci-Fi', 'Music', 'Slice of Life']",Sound of the Sky,TV,Jan,Winter,12,24,PG,1090,136174,1353,6916,56423,5742,5678
Toshi Densetsu Monogatari Hikiko,5.96,['Horror'],Toshi Densetsu Monogatari Hikiko,OVA,Aug,Summer,1,40,R,6736,4567,8,131,2001,67,83
InuYasha: Kanketsu-hen,8.22,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Magic', 'Romance', 'Fantasy', 'Shounen']",InuYasha:The Final Act,TV,Oct,Fall,26,24,PG,692,213386,2087,8713,150825,5703,3539
Ukkari Pénélope (2009),6.51,"['Comedy', 'Slice of Life']",Ukkari Pénélope (2009),TV,Jun,Summer,26,5,G,12245,477,0,42,134,29,107
Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,4.73,['Fantasy'],Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,Movie,Apr,Spring,1,7,G,10622,933,0,24,720,7,44
Suzume no Oyado,5.35,['Fantasy'],The Sparrows' Lodge,Movie,Other,Other,1,10,G,11639,612,0,10,472,1,37
Ohi-sama to Kaeru,4.35,['Comedy'],The Sun and the Frogs,Movie,Other,Other,1,1,G,11567,627,0,9,513,3,36
Izakaya no Ichiya,5.28,['Action'],Over a Drink,Movie,Jun,Summer,1,10,G,10939,811,0,28,622,4,43
Hinomaru Hatanosuke: Inazuma-gumi Tobatsu no Maki,4.75,"['Action', 'Historical', 'Samurai']",Hatanosuke Takes Down the Inazuma Gang,Movie,Other,Other,1,1,G,11105,758,0,10,625,2,35
Hinomaru Hatanosuke: Bakemonoyashiki no Maki,4.86,['Supernatural'],Hatanosuke and the Haunted House,Movie,Other,Other,1,1,G,10631,927,1,14,681,8,41
Shoujouji no Tanuki-bayashi Ban Danemon,5.16,['Supernatural'],Danemon's Monster Hunt at Shojoji,Movie,Other,Other,1,9,G,10212,1114,0,18,867,7,42
Ninjutsu Hinotama Kozou: Edo no Maki,4.08,['Action'],Ninja Fireball in Edo,Movie,Nov,Fall,1,1,G,10570,951,0,16,772,4,43
Taa-chan no Kaitei Ryokou,4.39,['Adventure'],Ta-chan's Underwater Adventure,Movie,Mar,Spring,1,1,G,10662,916,0,18,758,2,51
Umi no Mizu wa Naze Karai,5.7,['Historical'],Why is the Sea Water Salty?,Movie,Sep,Fall,1,10,G,10428,1013,1,24,799,5,48
Issunboushi: Chibisuke Monogatari,5.08,"['Action', 'Samurai']",Tiny Chibisuke's Big Adventure,Movie,May,Spring,1,9,G,10737,878,0,22,676,10,43
Tengu Taiji,5.09,['Comedy'],Hyoei and Heibei's Tengu Hunt,Movie,Jun,Summer,1,8,G,10503,976,0,22,786,7,49
Dekobou no Jidousha Ryokou,4.16,"['Adventure', 'Cars']",Dekobo the Big Head's Road Trip,Movie,Other,Other,1,1,G,10210,1117,1,10,934,5,50
Hinomaru Tarou: Musha Shugyou no Maki,4.87,"['Action', 'Samurai']",Taro's Early Training Days,Movie,Other,Other,1,5,G,11336,689,0,13,533,4,39
Maabou no Daikyousou,4.64,"['Comedy', 'Sports']",Mabo's Big Race,Movie,Other,Other,1,1,G,10816,853,0,11,681,6,43
Maabou no Kinoshita Toukichirou,5.12,['Samurai'],Mabo as Tokichiro Kinoshita,Movie,Dec,Winter,1,6,G,10603,940,0,19,715,5,44
Oyoge ya Oyoge,5.08,['Sports'],"Swim, Monkey, Swim!",Movie,Other,Other,1,10,G,11677,600,1,9,470,2,37
Kangaroo no Tanjoubi,5.36,['Adventure'],Baby Kangaroo's Birthday Surprise,Movie,Other,Other,1,9,G,10934,814,3,18,617,4,46
Osaru no Sankichi: Boukuusen,4.49,['Military'],Sankichi the Monkey:The Air Combat,Movie,Other,Other,1,3,G,10738,877,0,11,721,5,39
Kuma ni Kuwarenu Otoko,5.16,"['Adventure', 'Music']",The Bear Dodger,Movie,Other,Other,1,9,G,11753,585,0,10,445,4,36
Gulliver Funtouki,5.21,['Adventure'],Gulliver's Great Activities,Movie,Other,Other,1,9,G,11635,609,1,12,485,1,34
Doubutsu Mura no Daisodou,5.13,['Action'],The Animal Village in Trouble,Movie,Other,Other,1,8,G,11566,627,0,9,487,4,36
Bouken Dankichi: Hyouryuu no Maki,4.61,['Adventure'],Dankichi on a Tropical Island,Movie,Other,Other,1,1,G,10949,807,0,7,664,3,43
Norakuro Shoui: Nichiyoubi no Kaijiken,4.87,"['Action', 'Military']",2nd Lieutenant Norakuro:Sunday Magic,Movie,Other,Other,1,1,G,11074,761,1,8,585,8,40
Kaitei no Boukun,4.52,['Adventure'],The Underwater Tyrant,Movie,Other,Other,1,1,G,11018,786,1,8,658,2,38
Ahiru no Otegara,5.06,['Adventure'],The Duckling Saves the Day,Movie,Other,Other,1,1,G,9701,1416,2,12,1175,8,59
Da Nao Tiangong,6.59,['Adventure'],Uproar in Heaven,Movie,Other,Other,1,114,G,11089,765,3,29,399,14,49
Aoi Chou,5.25,['Music'],Aoi Chou,Music,Nov,Fall,1,4,G,10306,1073,2,7,885,4,33
Momotarou no Umiwashi,5.0,"['Military', 'Historical', 'Kids']",Momotaro's Sea Eagles,Movie,Mar,Spring,1,36,G,9841,1320,0,29,881,7,55
Shui Naodai,6.14,"['Sci-Fi', 'Dementia', 'Fantasy']",Water Brain,Special,Jun,Summer,1,14,G,10072,1188,0,29,666,11,36
K-On!: Live House!,7.83,"['Comedy', 'Music', 'School', 'Slice of Life']",K-On!: Live House!,Special,Jan,Winter,1,23,PG,1197,123425,247,1047,104951,581,353
xxxHOLiC Rou,8.23,"['Mystery', 'Supernatural']",xxxHOLiC Rou,OVA,Apr,Spring,2,35,PG,2066,57509,188,1993,37721,974,433
Halo Legends,7.04,"['Action', 'Drama', 'Military', 'Sci-Fi']",Halo Legends,ONA,Nov,Fall,9,16,PG,2787,33735,183,819,24320,634,793
Wansa-kun,6.51,['Comedy'],Little Wansa,TV,Apr,Spring,26,25,PG,11959,533,0,21,121,14,78
Cyborg 009,6.1,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Shounen']",Cyborg 009,Movie,Jul,Summer,1,65,G,8187,2573,3,61,1311,54,101
Iron Man,6.1,"['Action', 'Mecha', 'Drama']",Iron Man,TV,Oct,Fall,12,24,PG,3322,24456,31,1193,13112,969,3531
Pokemon: Bokutachi Pichu Brothers - Party wa Oosawagi! no Maki,6.54,"['Adventure', 'Comedy', 'Fantasy', 'Kids']",Pokemon:Pichu Bros. in Party Panic,Special,Jul,Summer,1,20,PG,4712,11124,10,86,9193,93,122
Usavich Special,6.43,"['Adventure', 'Comedy']",Usavich Special,Special,Oct,Fall,1,1,G,9151,1762,0,26,1463,13,60
Deadman Wonderland,7.22,"['Action', 'Horror', 'Sci-Fi', 'Shounen', 'Supernatural']",Deadman Wonderland,TV,Apr,Spring,12,24,R,79,946514,6313,34609,693044,23219,30556
Hatsukoi Limited.: Gentei Shoujo,6.71,"['Comedy', 'Ecchi', 'School', 'Shounen']",Hatsukoi Limited Shorts,Special,Jul,Summer,6,4,PG,4149,15032,8,435,10572,311,294
Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro,6.56,"['Fantasy', 'Comedy', 'Supernatural']",Umi Monogatari:Faithful Hearts,Special,Mar,Spring,1,24,PG,7235,3795,0,114,1788,69,65
Ookami to Koushinryou II: Holo no Short Anime,7.06,['Fantasy'],Spice and Wolf II Specials,Special,Oct,Fall,2,3,PG,2201,52167,151,853,37649,518,297
Sora no Manimani Specials,6.57,"['Slice of Life', 'Comedy', 'School', 'Seinen']",At The Mercy of The Sky Specials,Special,Sep,Fall,3,2,PG,6300,5340,3,156,3721,123,86
Time Bokan Series: Zenderman,5.96,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Super Power', 'Mecha']",Time Bokan Series: Zenderman,TV,Feb,Winter,52,24,PG,11263,709,0,31,227,30,113
Ontama!,6.76,"['Slice of Life', 'Magic', 'Comedy', 'Seinen']",Ontama!,ONA,Aug,Summer,5,11,G,8444,2342,3,88,1277,52,58
Hakuouki,7.41,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']",Hakuoki ~Demon of the Fleeting Blossom~,TV,Apr,Spring,12,23,R,1040,142384,2030,7409,78891,4897,6279
Pandora Hearts Omake,7.37,['Comedy'],Pandora Hearts Omake,Special,Jul,Summer,9,4,PG,2509,40896,137,1317,28715,923,647
Stitch!: Itazura Alien no Daibouken,6.13,"['Adventure', 'Comedy', 'Kids', 'Sci-Fi']",Stitch!: Itazura Alien no Daibouken,TV,Oct,Fall,29,25,G,9242,1710,4,68,944,46,95
Tamagotchi!,6.3,"['Comedy', 'Kids']",Tamagotchi!,TV,Oct,Fall,143,25,G,10343,1059,11,75,243,62,128
Battle Spirits: Shounen Gekiha Dan,6.98,"['Game', 'Military', 'Adventure', 'Magic']",Battle Spirits: Shounen Gekiha Dan,TV,Sep,Fall,50,23,PG,8230,2547,4,154,1212,74,167
Saikyou Bushouden: Sangoku Engi,6.83,['Historical'],Saikyou Bushouden: Sangoku Engi,TV,Apr,Spring,52,25,PG,8693,2104,5,120,335,82,121
Hellsing: Digest for Freaks,7.67,"['Action', 'Horror', 'Military', 'Seinen', 'Super Power', 'Supernatural', 'Vampire']",Hellsing: Digest for Freaks,OVA,Jan,Winter,1,28,R,2748,34846,85,861,20584,453,398
Mikan-Seijin,5.84,['Comedy'],Extraterrestrial Oranges,TV,Apr,Spring,26,0,G,12330,460,3,17,184,15,55
Jungle Taitei: Yuuki ga Mirai wo Kaeru,6.9,['Adventure'],Jungle Emperor Leo,Special,Sep,Fall,1,106,G,8976,1903,4,51,1087,23,65
Tsuideni Tonchinkan,6.51,['Comedy'],"Anyway, It Doesn't Matter",TV,Oct,Fall,43,25,G,12000,525,3,22,112,20,69
Wolverine,6.1,"['Action', 'Martial Arts', 'Super Power']",Wolverine,TV,Jan,Winter,12,23,PG,3501,21904,25,1119,12357,808,2270
X-Men,6.37,"['Action', 'Drama', 'Super Power']",X-Men,TV,Apr,Spring,12,23,PG,3454,22358,36,1238,12764,923,2149
Blade,6.24,"['Action', 'Drama', 'Horror', 'Vampire']",Blade,TV,Jul,Summer,12,24,R,3410,22934,24,1076,12368,789,1969
Fate/stay night Movie: Unlimited Blade Works,7.41,"['Action', 'Fantasy', 'Magic', 'Supernatural']",Fate/stay night:Unlimited Blade Works,Movie,Jan,Winter,1,100,PG,849,175627,862,2772,132791,1370,1372
Higashi no Eden: Air Communication,7.62,"['Mystery', 'Comedy', 'Romance']",Eden of The East Compilation:Air Communication; Higashi no Eden Recap,Movie,Sep,Fall,1,123,PG,3004,29372,22,483,17865,399,339
Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,7.16,"['Adventure', 'Comedy', 'Fantasy', 'Kids']",Doraemon the Movie:The Record of Nobita's Spaceblazer,Movie,Mar,Spring,1,98,PG,7549,3347,1,42,2775,33,89
Kemono to Chat,6.08,['Comedy'],Kemono to Chat,OVA,Oct,Fall,1,28,PG,9316,1659,1,44,895,28,36
Enkinhou no Hako: Hakase no Sagashimono,5.23,['Slice of Life'],The Researcher's Search - Perspectivenbox,Special,Other,Other,1,4,G,10267,1090,2,12,816,6,31
Hermes: Ai wa Kaze no Gotoku,5.29,"['Drama', 'Fantasy']",Hermes:Winds of Love,Movie,Apr,Spring,1,114,PG,10761,867,0,37,378,26,43
